Title, Prime Score, Rotten Tomatoes Score, IMDb Score, OnionPlay Link, Genre List, My Score, IMDb Summary, Awards, Must Watch 
Girl Interrupted,4.7,8.4,7.3,https://onionplay.se/movies/girl-interrupted-1999/ ,Comedy Drama Thriller,8.8,Directionless teenager Susanna is rushed to Claymoore` a mental institution` after a supposed suicide attempt. There she befriends a group of troubled women who deeply influence her life.,None,True
American Psycho,4.6,8.5,7.6,https://onionplay.se/movies/american-psycho-2000/ ,Slasher Satire Psychological Dark,7.6,A wealthy New York City investment banking executive` Patrick Bateman` hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent` hedonistic fantasies.,IHG Award + National Board of Review Special Recognition + Chainsaw Award,True
Chicken Run,4.7,6.5,7.1,No Link,Animation Comedy Adventure,6.8,When a cockerel apparently flies into a chicken farm` the chickens see him as an opportunity to escape their evil owners.,Blockbuster Entertainment Award + Critics Choice Award + DFWFCA Award + FFCC Award + Genesis Award + Golden Satellite Award + KCFCC Award + Sierra Award + NBR Award + NYFCC Award + OFCS Award + Young Artist Award + Golden Trailer + 2 PFCS Awards + Golden Tomato Award,True
How the Grinch Stole Christmas,4.8,9.4,8.3,No Link,Animation Comedy Musical Fantasy,8,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,None,True
Castaway,4.8,8.4,7.8,https://onionplay.se/movies/cast-away-2000/ ,Survival Action Adventure,7.9,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Bogey Award + Golden Screen,True
Donnie Darko,4.7,8.0,8.0,https://onionplay.se/movies/donnie-darko-2001/ ,Horror Thriller Psychological Fantasy Mystery,8.6,After narrowly escaping a bizarre accident` a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.,FCCA Award + Toronto Film Critics Association Special Citation + Webby Award,True
Shrek,4.8,9.0,7.9,https://onionplay.se/movies/shrek-2001/ ,Animation Comedy Fantasy Romance,8.8,A mean lord exiles fairytale creatures to the swamp of a grumpy ogre` who must go on a quest and rescue a princess for the lord in order to get his land back.,Annie Award + Bogey Award + Critics Choice Award + DFWFCA Award + FFCC Award + Golden Screen + KCFCC Award + Sierra Award + NBR Award + 2 OFCS Awards + People's Choice Award + Young Artist Award + PFCS Award + ACCA + 2 Golden Schmoes Awards + Inducted into: National Film Registry,True
Spirited Away,4.9,9.6,8.6,https://onionplay.se/movies/spirited-away-2002/ ,Animation Fantasy Teen Drama Fantasy,9,During her family's move to the suburbs` a sullen 10-year-old girl wanders into a world ruled by gods` witches and spirits` and where humans are changed into beasts.,Saturn Award for Best Animated Film + Annie Award + FCCA Award + Boston Field of Film Critics Special Commendation + Critics Choice Award + DFWFCA Award + FFCC Award + Golden Satellite Award + Hong Kong Film Award + Award of the Japanese Academy + NBR Award + NYFCC Award + OFCS Award + Golden Trailer + PFCS Award + Nikkan Sports Film Award + NYFCO Award + 2 UFCA Awards + ACCA + Gold Derby Film Award + Movies for Grownups Award + Inducted into: National Film Registry,True
The Princess Diaries,4.7,6.8,6.4,https://onionplay.se/movies/the-princess-diaries-2001/ ,Romance Comedy Teen Drama,6.5,Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow` she tries to navigate through the rest of her sixteenth year.,Young Artist Award + Movieguide Award,False
Monsters Inc.,4.8,9.0,8.1,https://onionplay.se/movies/monsters-inc-2001/ ,Animation Comedy Fantasy Action,8.3,In order to power the city` monsters have to scare children so that they scream. However` the children are toxic to the monsters` and after a child gets through` two monsters realize things may not be what they think.,Bogey Award + Golden Satellite Award + Golden Trailer + PCFS Award,True
